task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,n_valid_folds,error
3917,1067,kc1,4.0,Binary,2109,21,2,5.469325153374233,0.8720379146919431,0.6504264588574584,0.8720379146919431,0.8378109452736319,0.6155941436840313,0.7969016002723868,0.35241858322883746,3.483958314987831,0.4408391210017726,1898.0,211.0,42,10,
3917,1067,kc1,5.0,Binary,2109,21,2,5.469325153374233,0.8578199052132701,0.6194083694083694,0.8578199052132701,0.7531818181818182,0.5948246510044263,0.8363976847122915,0.32663563899084386,3.084969621966593,0.4340375909814611,1898.0,211.0,42,10,
3917,1067,kc1,6.0,Binary,2109,21,2,5.469325153374233,0.8767772511848341,0.656265664160401,0.8767772511848341,0.8825632563256325,0.6184031324480763,0.8602315287708546,0.309155287166115,3.0890073429909535,0.42737405002117157,1898.0,211.0,42,10,
3917,1067,kc1,7.0,Binary,2109,21,2,5.469325153374233,0.8483412322274881,0.6096207215541165,0.8483412322274881,0.7035742035742036,0.5892066734763364,0.8770854613551243,0.30467721662717856,3.40478111297125,0.42727760795969516,1898.0,211.0,42,10,
3917,1067,kc1,8.0,Binary,2109,21,2,5.469325153374233,0.8957345971563981,0.7504301075268818,0.8957345971563981,0.8627956337174045,0.7036942458290772,0.9028770854613551,0.26866283784434924,2.987231270992197,0.4353317019995302,1898.0,211.0,42,10,
3917,1067,kc1,9.0,Binary,2109,21,2,5.469325153374233,0.8666666666666667,0.6296296296296297,0.8666666666666667,0.7875,0.6009480337078652,0.7945926966292134,0.35626305141038234,3.2885215430287644,0.4343680830206722,1899.0,210.0,42,10,
3918,1068,pc1,0.0,Binary,1109,21,2,13.402597402597403,0.963963963963964,0.790566037735849,0.963963963963964,0.9814814814814814,0.7142857142857143,0.8736263736263736,0.15921261017263508,3.1559230660204776,0.30391640996094793,998.0,111.0,42,10,
3918,1068,pc1,1.0,Binary,1109,21,2,13.402597402597403,0.918918918918919,0.5695820766910814,0.918918918918919,0.5969626168224299,0.5570054945054945,0.9120879120879121,0.1649243705590047,3.341853767982684,0.30790217797039077,998.0,111.0,42,10,
3918,1068,pc1,2.0,Binary,1109,21,2,13.402597402597403,0.9459459459459459,0.6858490566037736,0.9459459459459459,0.9724770642201834,0.625,0.9587378640776699,0.13252790235862164,3.277690896007698,0.31087737099733204,998.0,111.0,42,10,
3918,1068,pc1,3.0,Binary,1109,21,2,13.402597402597403,0.9369369369369369,0.5946791862284819,0.9369369369369369,0.9681818181818183,0.5625,0.8385922330097086,0.1887775869616726,3.132603918958921,0.3050089239841327,998.0,111.0,42,10,
