task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,pdlc_topk_effective,pdlc_topk_tuned_best_frac,n_valid_folds,error
14,14,mfeat-fourier,9.0,Multiclass,2000,76,10,1.0,0.765,0.7648532646358734,0.765,0.7691986187187425,0.765,0.9583611111111111,0.7397288146173338,0.33447883464396,0.583074664697051,1800.0,200.0,42,32.0,,10,
15,15,breast-w,0.0,Binary,699,9,2,1.900414937759336,0.9714285714285714,0.9682971014492754,0.9714285714285714,0.9682971014492754,0.9682971014492754,0.9981884057971014,0.06049191151945744,0.24306305311620235,0.08232483267784119,629.0,70.0,42,32.0,,10,
15,15,breast-w,1.0,Binary,699,9,2,1.900414937759336,0.9714285714285714,0.9688888888888889,0.9714285714285714,0.9615384615384616,0.9782608695652174,0.9873188405797102,0.11211796911160342,0.24182539246976376,0.08135601319372654,629.0,70.0,42,32.0,,10,
15,15,breast-w,2.0,Binary,699,9,2,1.900414937759336,1.0,1.0,1.0,1.0,1.0,1.0,0.018217605527243316,0.24904187954962254,0.08195610903203487,629.0,70.0,42,32.0,,10,
15,15,breast-w,3.0,Binary,699,9,2,1.900414937759336,0.9428571428571428,0.9388111888111889,0.9428571428571428,0.9285714285714286,0.9565217391304348,1.0,0.06262132824791343,0.24123791977763176,0.08343915455043316,629.0,70.0,42,32.0,,10,
15,15,breast-w,4.0,Binary,699,9,2,1.900414937759336,1.0,1.0,1.0,1.0,1.0,1.0,0.030569592981258602,0.24223810248076916,0.0889887772500515,629.0,70.0,42,32.0,,10,
15,15,breast-w,5.0,Binary,699,9,2,1.900414937759336,0.9714285714285714,0.9682971014492754,0.9714285714285714,0.9682971014492754,0.9682971014492754,0.9936594202898551,0.1296460370610219,0.26936667971313,0.08169589564204216,629.0,70.0,42,32.0,,10,
15,15,breast-w,6.0,Binary,699,9,2,1.900414937759336,0.9714285714285714,0.967622571692877,0.9714285714285714,0.9791666666666667,0.9583333333333333,1.0,0.0636548823057157,0.24165144748985767,0.08174369484186172,629.0,70.0,42,32.0,,10,
15,15,breast-w,7.0,Binary,699,9,2,1.900414937759336,0.9428571428571428,0.9365942028985508,0.9428571428571428,0.9365942028985508,0.9365942028985508,0.9882246376811595,0.13770851095419887,0.25611222349107265,0.08209234289824963,629.0,70.0,42,32.0,,10,
15,15,breast-w,8.0,Binary,699,9,2,1.900414937759336,0.9571428571428572,0.9537343027098479,0.9571428571428572,0.9501748251748252,0.9577777777777778,0.9893333333333334,0.11366263148546975,0.24624917656183243,0.08760260604321957,629.0,70.0,42,32.0,,10,
15,15,breast-w,9.0,Binary,699,9,2,1.900414937759336,0.9710144927536232,0.9686363636363636,0.9710144927536232,0.9615384615384616,0.9777777777777779,0.9953703703703705,0.08631687352998049,0.3172852285206318,0.08292194083333015,630.0,69.0,42,32.0,,10,
16,16,mfeat-karhunen,0.0,Multiclass,2000,64,10,1.0,0.985,0.98510989010989,0.985,0.985909090909091,0.985,0.9987777777777778,0.12307221036097783,0.37035120837390423,0.5058176424354315,1800.0,200.0,42,32.0,,10,
16,16,mfeat-karhunen,1.0,Multiclass,2000,64,10,1.0,0.975,0.9752376485303313,0.975,0.9759523809523809,0.975,0.9996666666666666,0.08869047965759919,0.3137929793447256,0.5006459131836891,1800.0,200.0,42,32.0,,10,
16,16,mfeat-karhunen,2.0,Multiclass,2000,64,10,1.0,0.98,0.9799718103890118,0.98,0.9811471861471862,0.9799999999999999,0.9997222222222222,0.10477169463816477,0.3137268256396055,0.5006219185888767,1800.0,200.0,42,32.0,,10,
