dataset,collapse_sa_top1,collapse_ea_top1,collapse_sa_top5,collapse_ea_top5,mean_cos_sa,mean_cos_ea,cka_sa_ea,neff_sa_mean,neff_sa_std,neff_ea_mean,neff_ea_std,purity_sa_top1,purity_sa_topk,purity_ea_top1,purity_ea_topk,m_mean_sa,m_mean_ea,m_cv_sa,m_cv_ea,seed
diabetes,0.20701432174851456,0.2169888464706647,0.710215408821176,0.7383647017417359,0.5727492576581388,0.5338721689180814,0.932609341866982,307.2865433796144,110.1311658969671,377.3325888893821,85.61982900752535,0.3852813852813853,0.4701298701298701,0.645021645021645,0.6536796536796535,,0.42777717113494873,,0.38703010766471924,43
spambase,0.20390976000315467,0.2253261544499189,0.4703769169507632,0.5742744433251478,0.7589944542195237,0.7865816492748173,0.8222409690674497,480.117876424382,340.76152989965294,983.2220029174894,336.8855181565326,0.06444605358435916,0.10644460535843592,0.14554670528602462,0.31962346125995655,,0.4820879101753235,,0.32230999940282584,43
splice,0.05121875775385505,0.057128886270165234,0.20911992760744447,0.24485424135350356,0.7766856247365619,0.8147387434336404,0.570565896513484,629.0850536541755,252.86319912172854,892.3136491765547,343.44542285124567,0.16509926854754442,0.2530825496342738,0.12852664576802508,0.21149425287356322,,0.4831583499908447,,0.3279821669044314,43
tic-tac-toe,0.14371830538788494,0.1315675953473597,0.6137468030889524,0.5777546676483547,0.5800144309762366,0.6660635979689835,0.9432020428802141,339.79818261994257,74.81660975809461,270.0042394532098,55.99174915235651,0.1909722222222222,0.30833333333333335,0.3368055555555556,0.3423611111111111,,0.40760257840156555,,0.4257915899343366,43
vehicle,0.5094744321230917,0.3964527524494682,0.8720821116545504,0.8437500667081015,0.7182305729971412,0.5822727772222328,0.9540045272424109,124.50629519665335,28.161249337580653,212.96461435753528,51.227765403464645,0.1377952755905512,0.2645669291338583,0.3228346456692913,0.40078740157480314,,0.44566991925239563,,0.3431004772505064,43
electricity,0.3618408106859867,0.3540123012893635,0.7802895485978931,0.7838451514763497,0.4850412728551232,0.5373488836366331,0.9818558790595953,9565.05786436327,5002.730174403329,12842.590715995093,5920.840979360914,0.17338531705164043,0.17348830366338092,0.2957186994262174,0.3127997646020303,,0.5119519233703613,,0.31359094310854374,43
satimage,0.5257737106378679,0.5522447872804247,0.9140847247847051,0.9151390897894992,0.5354621000604425,0.5663198300781477,0.9768426623880276,481.700497688068,220.72961810235424,805.7080488822941,233.31972302373413,0.09072058061171591,0.15313634007257645,0.11560393986521514,0.17480559875583204,,0.5169299840927124,,0.3067705922736844,43
kr-vs-kp,0.13871499176803698,0.14913987092717115,0.5210469567819498,0.5375066510306946,0.8136455259966052,0.8175465206862034,0.9303929659858514,610.9411964138059,177.37867121509194,624.2410554219585,181.2995000619097,0.2346193952033368,0.60563086548488,0.1981230448383733,0.23795620437956203,,0.4786214232444763,,0.36417081831920184,44
letter,0.19353833334508064,0.17698540551393166,0.6278743933671072,0.640816562667274,0.6717551179861083,0.6018697815366079,0.9581277400142968,1513.6863493448893,676.312864743172,2764.6530293782553,680.4293028542609,0.004333333333333333,0.007733333333333334,0.007,0.014133333333333335,,0.5266091227531433,,0.3073502821437606,44
balance-scale,0.19549901087660823,0.22172994995304032,0.7235916656157212,0.7528960418526545,0.36835874345659936,0.48109840738191145,0.9452825777197995,146.60523572881172,25.02804134950635,176.46329567280222,31.959426068271,0.8404255319148937,0.8553191489361702,0.5638297872340425,0.7861702127659576,,0.43399789929389954,,0.38957485682627213,44
breast-w,0.5501176112211541,0.5782601780418338,0.7879167341160108,0.8155683081128383,0.6368268704101451,0.6249693155937153,0.9858776878840547,209.49378291538784,61.154609705797114,232.8070471264067,72.57879914027627,0.2761904761904762,0.6361904761904762,0.3333333333333333,0.7742857142857141,,0.4089631140232086,,0.4705315530487283,44
cmc,0.28538512339123434,0.32565102401782,0.716444929303112,0.7201385806132264,0.6296554774402935,0.5809155846951,0.8456642645795291,559.2254429295052,203.02553493256863,632.9675495958976,185.61736544850098,0.33031674208144796,0.34208144796380086,0.29638009049773756,0.30180995475113126,,0.44386279582977295,,0.3415065729062567,44
optdigits,0.149903539384871,0.16180375291618707,0.5484768961705748,0.5446638490386293,0.6791689410935501,0.7426517671867444,0.8675675731060268,321.5221477137483,119.08382235686844,569.6969834731567,330.3882291233002,0.44187425860023727,0.573190984578885,0.22835112692763937,0.4593119810201661,,0.5644150972366333,,0.25849074177918274,44
credit-approval,0.2070447904316403,0.21092199885329685,0.608762801243932,0.6896646228974614,0.6290841017417205,0.5725726728899106,0.8905204653412992,237.09452771910148,71.41559295077583,289.7182923100421,61.89600906349303,0.2222222222222222,0.23768115942028986,0.5458937198067633,0.5516908212560386,,0.4053601324558258,,0.38724416759198477,44
credit-g,0.22638371255188255,0.2387393723199542,0.5898164365138853,0.6185700742548664,0.6193452195742316,0.6219043530653531,0.9492322454224523,469.8422115580241,94.79016471876011,487.6169546508789,130.1926772256516,0.34,0.33599999999999997,0.4666666666666667,0.4973333333333333,,0.41091078519821167,,0.39902510741681935,44
