dataset_id,dataset_name,n_folds,accuracy_n,accuracy_mean,accuracy_std,f1_macro_n,f1_macro_mean,f1_macro_std,f1_micro_n,f1_micro_mean,f1_micro_std,precision_macro_n,precision_macro_mean,precision_macro_std,recall_macro_n,recall_macro_mean,recall_macro_std,roc_auc_n,roc_auc_mean,roc_auc_std,log_loss_n,log_loss_mean,log_loss_std,fit_seconds_n,fit_seconds_mean,fit_seconds_std,predict_seconds_n,predict_seconds_mean,predict_seconds_std
1053,jm1,10,10,0.8174551328795981,0.00527292688623739,10,0.5581316761494176,0.014948208440827736,10,0.8174551328795981,0.00527292688623739,10,0.7299561831784731,0.032178147378586326,10,0.5573049727685973,0.009688160724252779,10,0.7524022049814262,0.01703726335373832,10,0.4258092232257356,0.00967250116053084,10,3.2503940729831813,0.3186064553044349,10,2.0746730175858827,0.008432109113548941
1063,kc2,10,10,0.8333091436865022,0.04957172232041269,10,0.7041884742166181,0.08808196368827369,10,0.8333091436865022,0.04957172232041269,10,0.7683911988640306,0.11632188475845637,10,0.684463097877732,0.07827117877632814,10,0.831117094287826,0.09581712639458176,10,0.37991815656331673,0.1114076411300439,10,3.192146503785625,0.11121759099177089,10,0.21239528590231202,0.004958633311399934
1067,kc1,10,10,0.8677093206951026,0.014212976699813052,10,0.6463782836052662,0.046984680669379,10,0.8677093206951026,0.014212976699813052,10,0.7884925702480711,0.06376881480633607,10,0.6158029008384643,0.03790358091705354,10,0.8444818968354056,0.03309074090093699,10,0.31950234687510126,0.025476954800008472,10,3.2491150583024138,0.17678522975020539,10,0.43398212299798616,0.006873660849219123
1068,pc1,10,10,0.9386814086814086,0.014597529078049386,10,0.6196384575220012,0.1157608811900322,10,0.9386814086814086,0.014597529078049386,10,0.7669769598115649,0.2400249420963192,10,0.5886582470927131,0.07841214725742152,10,0.9012829403606102,0.03368534973078936,10,0.16623946059901035,0.01822138607046611,10,3.262349008000456,0.09132504320011413,10,0.3089653247909155,0.0048198603709652755
1461,bank-marketing,10,10,0.9027449229263877,0.0045086736828330275,10,0.7165283995053845,0.014683871067112315,10,0.9027449229263877,0.0045086736828330275,10,0.7797660122385711,0.01644387628941907,10,0.6823277727586744,0.013497069009340402,10,0.9185149885816237,0.006130657212147599,10,0.21567541551581798,0.006947302177994558,10,3.609266870003194,0.5652174060583677,10,13.722239132609683,0.06565362709554606
1462,banknote-authentication,10,10,1.0,0.0,10,1.0,0.0,10,1.0,0.0,10,1.0,0.0,10,1.0,0.0,10,1.0,0.0,10,0.00022286700418400174,0.0004119526906781741,10,3.144357562996447,0.1271808117084724,10,0.11907419060007665,0.006008811834927155
1464,blood-transfusion-service-center,10,10,0.7941261261261261,0.01994630673708161,10,0.6562537682865945,0.04057186326913871,10,0.7941261261261261,0.01994630673708161,10,0.7238884259848241,0.048569565174283985,10,0.6391124871001033,0.03629309541077074,10,0.7482570806100217,0.045253959770747865,10,0.47949179659580327,0.034406252448493505,10,3.1202345529105515,0.12278454333892284,10,0.08459423399763177,0.003030164694612063
1475,first-order-theorem-proving,10,10,0.6147403806039601,0.020494204967099312,10,0.4985175511250185,0.02678615879261581,10,0.6147403806039601,0.020494204967099312,10,0.543317790794917,0.031086157219173356,10,0.47905506827937694,0.024703828050203068,10,0.8454097742797504,0.009180823066098805,10,1.07136701227105,0.029557488571778402,10,3.4451070862065536,0.09972640112554611,10,1.797440631216159,0.006811418796593811
1480,ilpd,10,10,0.7084453535943893,0.04337772556887153,10,0.5301365791184036,0.05922670394070429,10,0.7084453535943893,0.04337772556887153,10,0.6167711800572512,0.1287038502944972,10,0.5451001742160279,0.04293366617426398,10,0.754531324725012,0.06312874251030806,10,0.5040510647873366,0.05347490960721711,10,3.6431921213923486,0.17009534667911858,10,0.20632732819649385,0.014497750206822296
1485,madelon,10,10,0.6273076923076923,0.036191560616103034,10,0.6268547291702763,0.03644075962008979,10,0.6273076923076923,0.036191560616103034,10,0.6278319897728596,0.036022779052200485,10,0.6273076923076923,0.036191560616103034,10,0.6880857988165682,0.037726089542441214,10,0.6504237816570366,0.008998515199005035,10,4.448490331106586,0.30868198464909335,10,7.651176318898797,0.21856980501986598
