episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
96,1.782541,1.088294,0.529412,1.083037,0.495818,0.548401,3,10,158,107,0,3,4000,0.5,False,False,0.0,4,1,0.35514
97,1.676129,0.648136,0.672727,0.632268,0.507853,0.501739,2,10,253,198,0,3,4000,0.5,False,False,0.0,4,1,0.676768
98,1.648174,0.680290,0.593909,0.675634,0.488868,0.510285,2,8,379,182,0,3,4000,0.5,False,False,0.0,4,1,0.604396
99,1.361446,0.654155,0.653846,0.646189,0.494941,0.497509,2,11,198,68,0,3,4000,0.5,False,False,0.0,4,1,0.676471
100,1.680077,0.956352,0.462069,0.964124,0.582606,0.698021,3,14,325,180,0,3,4000,0.5,False,False,0.0,4,1,0.533333
101,1.455578,0.668564,0.640288,0.661613,0.493757,0.553916,2,9,165,26,0,3,4000,0.5,False,False,0.0,4,1,0.576923
102,2.087506,0.673676,0.598291,0.678459,0.506831,0.503438,2,8,258,141,0,3,4000,0.5,False,False,0.0,4,1,0.64539
103,1.827345,0.696885,0.472868,0.700527,0.521036,0.528361,2,16,218,89,0,3,4000,0.5,False,False,0.0,4,1,0.539326
104,1.765654,0.683921,0.603448,0.679057,0.507940,0.491130,2,16,163,105,0,3,4000,0.5,False,False,0.0,4,1,0.542857
105,1.635075,0.991527,0.388889,0.996687,0.495893,0.510577,3,16,274,220,0,3,4000,0.5,False,False,0.0,4,1,0.463636
106,1.601633,0.706930,0.428571,0.737652,0.507038,0.510921,2,15,293,258,0,3,4000,0.5,False,False,0.0,4,1,0.593023
107,1.393286,0.696053,0.470588,0.699302,0.509536,0.475254,2,10,149,30,0,3,4000,0.5,False,False,0.0,4,1,0.533333
108,1.431055,0.673920,0.603175,0.671721,0.502055,0.592525,2,14,285,33,0,3,4000,0.5,False,False,0.0,4,1,0.606061
