episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
148,1.451153,0.683052,0.581395,0.686807,0.496858,0.488316,2,20,317,274,274,3,2730,0.5,True,False,0.0,2,1,0.638686
149,1.449913,0.692198,0.523404,0.694701,0.500297,0.526601,2,22,344,109,109,3,2730,0.5,True,False,0.0,2,1,0.559633
150,1.451889,1.139891,0.517241,1.121029,0.545884,0.486526,4,15,352,294,294,3,2730,0.5,True,False,0.0,3,1,0.455782
151,1.455517,0.659820,0.669643,0.635101,0.492392,0.505493,2,22,345,233,233,3,2730,0.5,True,False,0.0,2,1,0.686695
152,1.459785,1.581399,0.411765,1.586273,0.520660,0.684438,6,16,351,215,215,3,2730,0.5,True,False,0.0,3,1,0.465116
153,1.465474,0.684786,0.560000,0.712606,0.489962,0.515555,2,9,177,152,152,3,2730,0.5,True,False,0.0,2,1,0.671053
154,1.461696,0.952563,0.650943,0.929280,0.543993,0.478126,4,22,196,90,90,3,2730,0.5,True,False,0.0,3,1,0.677778
155,1.461673,0.654899,0.723077,0.605619,0.511401,0.516962,2,31,230,100,100,3,2730,0.5,True,False,0.0,2,1,0.64
156,1.465882,0.688940,0.596774,0.685059,0.513735,0.569183,2,7,166,42,42,3,2730,0.5,True,False,0.0,2,1,0.52381
157,1.460419,0.684829,0.598187,0.676061,0.513452,0.679324,2,22,393,62,62,3,2730,0.5,True,False,0.0,2,1,0.564516
158,1.459728,0.693052,0.516129,0.692908,0.506840,0.504665,2,14,179,117,117,3,2730,0.5,True,False,0.0,2,1,0.504274
159,1.467132,1.042695,0.481481,1.111628,0.596379,0.631325,3,29,246,30,30,3,2730,0.5,True,False,0.0,2,1,0.666667
160,1.463730,1.503271,0.181818,1.581748,0.509317,0.521747,4,27,130,108,108,3,2730,0.5,True,False,0.0,3,1,0.509259
161,1.451404,0.681373,0.642202,0.663573,0.501163,0.523038,2,9,315,206,206,3,2730,0.5,True,False,0.0,2,1,0.567961
162,1.473617,1.205779,0.501529,1.200237,0.538578,0.487725,4,19,368,41,41,3,2730,0.5,True,False,0.0,3,1,0.512195
163,1.465338,0.693057,0.512690,0.693147,0.488867,0.517447,2,19,233,36,36,3,2730,0.5,True,False,0.0,2,1,0.5
164,1.445435,1.688518,0.433333,1.684498,0.510195,0.545098,6,5,233,203,203,3,2730,0.5,True,False,0.0,3,1,0.231527
165,1.451954,1.167365,0.431818,1.164518,0.570858,0.632336,5,5,308,132,132,3,2730,0.5,True,False,0.0,3,1,0.462121
166,1.448412,1.467046,0.400000,1.463347,0.534581,0.658139,6,17,397,262,262,3,2730,0.5,True,False,0.0,3,1,0.423664
167,1.470934,0.659819,0.704918,0.616067,0.490630,0.560134,2,20,197,75,75,3,2730,0.5,True,False,0.0,2,1,0.64
168,1.462564,1.018981,0.510204,1.027378,0.491072,0.510842,3,11,352,303,303,3,2730,0.5,True,False,0.0,2,1,0.570957
169,1.461445,0.667681,0.713287,0.631525,0.483411,0.504697,2,15,165,22,22,3,2730,0.5,True,False,0.0,2,1,0.590909
170,1.464879,1.214910,0.442623,1.226430,0.574131,0.552855,4,10,168,107,107,3,2730,0.5,True,False,0.0,3,1,0.46729
171,1.458880,0.706881,0.385965,0.743436,0.526401,0.492123,2,18,202,31,31,3,2730,0.5,True,False,0.0,2,1,0.580645
172,1.462416,0.692247,0.539877,0.691939,0.494428,0.557276,2,6,385,59,59,3,2730,0.5,True,False,0.0,2,1,0.508475
173,1.462787,0.693360,0.552083,0.734572,0.495840,0.608463,2,17,139,43,43,3,2730,0.5,True,False,0.0,2,1,0.697674
174,1.449889,0.941808,0.642857,0.902354,0.486603,0.530927,3,15,232,162,162,3,2730,0.5,True,False,0.0,2,1,0.604938
175,1.456856,1.227917,0.453333,1.220999,0.577041,0.492452,4,9,207,57,57,3,2730,0.5,True,False,0.0,3,1,0.403509
176,1.469477,0.949913,0.645161,0.919626,0.527005,0.510663,3,6,255,38,38,3,2730,0.5,True,False,0.0,2,1,0.631579
177,1.450280,1.286564,0.526971,1.282359,0.475943,0.478747,5,6,385,144,144,3,2730,0.5,True,False,0.0,3,1,0.569444
178,1.459816,1.096476,0.380282,1.108413,0.522714,0.485927,3,17,330,117,117,3,2730,0.5,True,False,0.0,2,1,0.470085
179,1.462961,1.133623,0.532338,1.124755,0.591517,0.518460,4,29,318,117,117,3,2730,0.5,True,False,0.0,3,1,0.487179
180,1.453779,1.095236,0.385475,1.107348,0.496402,0.580109,3,5,213,34,34,3,2730,0.5,True,False,0.0,2,1,0.470588
181,1.454361,0.685402,0.584071,0.678950,0.498530,0.507190,2,21,295,182,182,3,2730,0.5,True,False,0.0,2,1,0.582418
182,1.460514,1.592736,0.414286,1.589146,0.507392,0.513644,6,20,127,57,57,3,2730,0.5,True,False,0.0,3,1,0.421053
183,1.453185,1.134461,0.488095,1.164471,0.677648,0.869179,4,7,256,172,172,3,2730,0.5,True,False,0.0,3,1,0.633721
184,1.465204,0.654983,0.706897,0.610457,0.498235,0.559603,2,26,131,73,73,3,2730,0.5,True,False,0.0,2,1,0.657534
185,1.459856,1.477436,0.530612,1.450714,0.485314,0.525995,6,13,228,179,179,3,2730,0.5,True,False,0.0,3,1,0.402235
186,1.469569,0.677921,0.615702,0.666298,0.515831,0.502853,2,11,331,89,89,3,2730,0.5,True,False,0.0,2,1,0.606742
187,1.451371,1.451736,0.333333,1.450661,0.634190,0.434735,6,30,234,153,153,3,2730,0.5,True,False,0.0,3,1,0.352941
188,1.458229,0.694114,0.488889,0.700047,0.497022,0.632612,2,13,341,206,206,3,2730,0.5,True,False,0.0,2,1,0.548544
189,1.457229,1.574109,0.336957,1.574171,0.504689,0.512738,5,29,268,176,176,3,2730,0.5,True,False,0.0,3,1,0.289773
190,1.464903,1.555589,0.343750,1.561867,0.520860,0.507463,5,24,145,113,113,3,2730,0.5,True,False,0.0,3,1,0.362832
191,1.472505,1.073557,0.355932,1.083864,0.539727,0.539461,3,16,198,80,80,3,2730,0.5,True,False,0.0,2,1,0.45
192,1.451807,0.681221,0.608696,0.669705,0.490345,0.591427,2,22,298,252,252,3,2730,0.5,True,False,0.0,2,1,0.595238
193,1.456258,1.158735,0.515625,1.149529,0.518939,0.567263,4,4,244,180,180,3,2730,0.5,True,False,0.0,3,1,0.516667
194,1.456433,1.073745,0.444444,1.113782,0.524862,0.517813,3,31,189,27,27,3,2730,0.5,True,False,0.0,2,1,0.592593
195,1.460039,1.444281,0.412281,1.443687,0.511604,0.528485,5,15,193,79,79,3,2730,0.5,True,False,0.0,3,1,0.417722
196,1.454576,1.067369,0.596774,1.068536,0.539471,0.550480,4,24,271,209,209,3,2730,0.5,True,False,0.0,3,1,0.650718
197,1.460729,1.396319,0.333333,1.405523,0.507913,0.525088,4,14,182,155,155,3,2730,0.5,True,False,0.0,3,1,0.387097
198,1.459108,0.662248,0.663430,0.638757,0.496671,0.507259,2,27,399,90,90,3,2730,0.5,True,False,0.0,2,1,0.666667
