episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
101,1.509029,0.690014,0.673913,0.685148,0.497430,0.517370,2,29,260,168,168,3,2730,0.5,True,False,0.0,2,1,0.511905
102,1.491659,0.839272,0.676596,0.809670,0.638035,0.605013,3,13,298,63,63,3,2730,0.5,True,False,0.0,2,1,0.587302
103,1.497992,1.620246,0.333333,1.617585,0.477280,0.514639,6,20,391,265,265,3,2730,0.5,True,False,0.0,3,1,0.275472
104,1.512646,1.436634,0.373333,1.433505,0.525378,0.539459,5,21,178,103,103,3,2730,0.5,True,False,0.0,3,1,0.38835
105,1.452589,0.690464,0.543689,0.690514,0.505166,0.508584,2,11,184,81,81,3,2730,0.5,True,False,0.0,2,1,0.567901
106,1.483425,0.653305,0.711111,0.609042,0.482462,0.617400,2,21,159,69,69,3,2730,0.5,True,False,0.0,2,1,0.652174
107,1.499334,0.933563,0.631579,0.898431,0.509948,0.504976,3,18,304,152,152,3,2730,0.5,True,False,0.0,2,1,0.539474
108,1.462195,0.678827,0.642857,0.661343,0.490851,0.510105,2,9,268,240,240,3,2730,0.5,True,False,0.0,2,1,0.575
109,1.490337,0.889895,0.712500,0.830263,0.493060,0.528974,3,24,157,77,77,3,2730,0.5,True,False,0.0,2,1,0.571429
110,1.466818,0.633353,0.763052,0.558447,0.500918,0.500813,2,17,371,122,122,3,2730,0.5,True,False,0.0,2,1,0.696721
111,1.446685,0.653950,0.704348,0.608026,0.480527,0.518286,2,6,395,165,165,3,2730,0.5,True,False,0.0,2,1,0.684848
112,1.454848,0.711663,0.395683,0.761105,0.495736,0.507463,2,12,172,33,33,3,2730,0.5,True,False,0.0,2,1,0.606061
113,1.468169,1.076623,0.637795,1.061681,0.510150,0.514183,4,11,333,79,79,3,2730,0.5,True,False,0.0,3,1,0.683544
114,1.469206,0.899341,0.661905,0.858281,0.497495,0.552094,3,32,327,117,117,3,2730,0.5,True,False,0.0,2,1,0.632479
115,1.450415,1.568630,0.276596,1.569223,0.470482,0.487768,6,7,386,339,339,3,2730,0.5,True,False,0.0,3,1,0.327434
116,1.486180,0.690350,0.591304,0.685327,0.498498,0.514409,2,26,216,101,101,3,2730,0.5,True,False,0.0,2,1,0.524752
117,1.474340,0.707453,0.393204,0.747057,0.509404,0.494396,2,18,240,34,34,3,2730,0.5,True,False,0.0,2,1,0.588235
118,1.465418,1.365394,0.325203,1.372894,0.512288,0.495862,4,22,359,236,236,3,2730,0.5,True,False,0.0,3,1,0.394068
119,1.468893,1.105839,0.626866,1.080193,0.500223,0.506737,4,23,221,154,154,3,2730,0.5,True,False,0.0,3,1,0.532468
120,1.462475,0.691192,0.612805,0.687690,0.514605,0.573590,2,28,367,39,39,3,2730,0.5,True,False,0.0,2,1,0.512821
121,1.464397,1.138777,0.459677,1.130681,0.535265,0.503651,4,21,390,266,266,3,2730,0.5,True,False,0.0,3,1,0.462406
122,1.463667,0.690945,0.546012,0.689059,0.494208,0.498622,2,19,230,67,67,3,2730,0.5,True,False,0.0,2,1,0.537313
123,1.457859,1.229466,0.280000,1.260026,0.624846,0.629404,4,31,138,113,113,3,2730,0.5,True,False,0.0,3,1,0.477876
124,1.462872,1.392661,0.477273,1.380956,0.526457,0.516589,5,11,189,101,101,3,2730,0.5,True,False,0.0,3,1,0.445545
125,1.471959,0.661420,0.657658,0.644031,0.500674,0.536758,2,29,263,41,41,3,2730,0.5,True,False,0.0,2,1,0.682927
126,1.459795,1.168819,0.548780,1.154352,0.518653,0.495384,5,27,323,241,241,3,2730,0.5,True,False,0.0,3,1,0.443983
127,1.452603,0.691976,0.521401,0.703279,0.526272,0.483496,2,14,336,79,79,3,2730,0.5,True,False,0.0,2,1,0.594937
128,1.458103,0.664169,0.702703,0.622253,0.499953,0.533833,2,22,183,109,109,3,2730,0.5,True,False,0.0,2,1,0.623853
129,1.444257,1.521307,0.421053,1.531277,0.542339,0.525091,5,6,370,294,294,3,2730,0.5,True,False,0.0,3,1,0.357143
130,1.461374,0.693029,0.508403,0.693103,0.507807,0.515555,2,21,368,130,130,3,2730,0.5,True,False,0.0,2,1,0.515385
131,1.457048,1.054443,0.431373,1.048723,0.496210,0.720452,3,12,373,271,271,3,2730,0.5,True,False,0.0,2,1,0.405904
132,1.461623,0.631068,0.823129,0.538172,0.497892,0.515254,2,8,219,72,72,3,2730,0.5,True,False,0.0,2,1,0.652778
133,1.457864,0.653409,0.696154,0.614543,0.498161,0.509390,2,9,389,129,129,3,2730,0.5,True,False,0.0,2,1,0.682171
134,1.457910,1.180268,0.432143,1.181055,0.565647,0.529525,4,27,365,85,85,3,2730,0.5,True,False,0.0,3,1,0.435294
135,1.471147,0.966320,0.611111,0.951065,0.516106,0.677869,3,19,201,93,93,3,2730,0.5,True,False,0.0,2,1,0.569892
136,1.468159,0.876392,0.679348,0.830493,0.484175,0.496713,3,12,327,143,143,3,2730,0.5,True,False,0.0,2,1,0.65035
137,1.463109,1.595419,0.461538,1.587986,0.472469,0.501846,6,10,187,122,122,3,2730,0.5,True,False,0.0,3,1,0.418033
138,1.464112,0.692996,0.520000,0.692928,0.504669,0.555592,2,17,194,169,169,3,2730,0.5,True,False,0.0,2,1,0.502959
139,1.461802,1.488722,0.475000,1.489251,0.494061,0.527647,6,29,396,236,236,3,2730,0.5,True,False,0.0,3,1,0.436441
140,1.451051,1.165433,0.528205,1.163909,0.527032,0.511814,4,10,396,201,201,3,2730,0.5,True,False,0.0,3,1,0.547264
141,1.466514,1.230739,0.565217,1.235481,0.517080,0.509608,5,25,138,92,92,3,2730,0.5,True,False,0.0,3,1,0.630435
142,1.452877,0.679225,0.687023,0.653447,0.488872,0.491551,2,14,241,110,110,3,2730,0.5,True,False,0.0,2,1,0.563636
143,1.464064,0.657664,0.681818,0.626605,0.502716,0.493697,2,13,163,141,141,3,2730,0.5,True,False,0.0,2,1,0.659574
144,1.466756,1.385466,0.309524,1.401921,0.553095,0.457886,4,14,181,97,97,3,2730,0.5,True,False,0.0,3,1,0.391753
145,1.461521,0.836252,0.434211,0.846263,0.625948,0.392364,3,30,142,66,66,3,2730,0.5,True,False,0.0,2,1,0.530303
146,1.459639,0.680048,0.729167,0.654822,0.500586,0.501402,2,20,339,291,291,3,2730,0.5,True,False,0.0,2,1,0.546392
147,1.461105,1.665104,0.263158,1.683319,0.469343,0.497708,6,11,213,156,156,3,2730,0.5,True,False,0.0,3,1,0.391026
148,1.445833,0.661274,0.666667,0.638862,0.490641,0.494097,2,6,333,126,126,3,2730,0.5,True,False,0.0,2,1,0.698413
149,1.471713,1.265519,0.333333,1.276307,0.533183,0.502006,4,11,123,105,105,3,2730,0.5,True,False,0.0,3,1,0.419048
150,1.463835,0.691450,0.544554,0.689493,0.494914,0.501555,2,26,148,47,47,3,2730,0.5,True,False,0.0,2,1,0.531915
151,1.464541,1.028135,0.550000,1.017189,0.484792,0.515855,3,24,233,73,73,3,2730,0.5,True,False,0.0,2,1,0.520548
152,1.467150,1.544083,0.323194,1.535296,0.534347,0.495190,6,16,306,43,43,3,2730,0.5,True,False,0.0,3,1,0.348837
153,1.455574,0.685867,0.604167,0.675575,0.497326,0.517689,2,27,245,197,197,3,2730,0.5,True,False,0.0,2,1,0.558376
154,1.463081,1.179270,0.294118,1.197891,0.481887,0.514529,4,31,197,112,112,3,2730,0.5,True,False,0.0,3,1,0.455357
155,1.458159,1.215139,0.480769,1.205545,0.555480,0.500666,4,31,337,233,233,3,2730,0.5,True,False,0.0,3,1,0.44206
156,1.469292,0.656843,0.721519,0.609876,0.496533,0.515473,2,28,331,252,252,3,2730,0.5,True,False,0.0,2,1,0.630952
157,1.457396,0.698712,0.432432,0.715038,0.492406,0.552052,2,6,222,185,185,3,2730,0.5,True,False,0.0,2,1,0.556757
158,1.456154,1.247919,0.288889,1.274534,0.534172,0.515715,4,7,240,195,195,3,2730,0.5,True,False,0.0,3,1,0.461538
159,1.463510,0.687552,0.586826,0.680371,0.507790,0.506844,2,26,243,76,76,3,2730,0.5,True,False,0.0,2,1,0.552632
160,1.455030,1.299649,0.421384,1.304254,0.500612,0.535183,4,31,199,40,40,3,2730,0.5,True,False,0.0,3,1,0.475
161,1.460732,0.690043,0.572727,0.685202,0.500222,0.548490,2,31,330,220,220,3,2730,0.5,True,False,0.0,2,1,0.536364
162,1.463991,0.840409,0.579439,0.827960,0.463669,0.515682,3,25,269,162,162,3,2730,0.5,True,False,0.0,2,1,0.574074
163,1.462360,1.519192,0.257143,1.518506,0.512671,0.507974,5,27,204,134,134,3,2730,0.5,True,False,0.0,3,1,0.30597
164,1.454642,0.668642,0.658065,0.642900,0.495787,0.577206,2,17,395,240,240,3,2730,0.5,True,False,0.0,2,1,0.641667
165,1.439665,1.626964,0.345912,1.623570,0.532000,0.552242,6,4,240,81,81,3,2730,0.5,True,False,0.0,3,1,0.333333
166,1.468814,0.687063,0.613445,0.678627,0.488727,0.618596,2,18,145,26,26,3,2730,0.5,True,False,0.0,2,1,0.538462
167,1.459199,0.672634,0.612903,0.676556,0.504736,0.501347,2,28,319,257,257,3,2730,0.5,True,False,0.0,2,1,0.677043
168,1.463206,0.693191,0.461538,0.693147,0.502468,0.503082,2,28,150,46,46,3,2730,0.5,True,False,0.0,2,1,0.5
169,1.464626,1.687726,0.310345,1.697971,0.506391,0.539110,6,25,236,178,178,3,2730,0.5,True,False,0.0,3,1,0.38764
170,1.466387,0.701409,0.464115,0.736266,0.495011,0.478162,2,15,253,44,44,3,2730,0.5,True,False,0.0,2,1,0.613636
171,1.452632,1.289106,0.527778,1.283099,0.623849,0.694290,5,13,207,135,135,3,2730,0.5,True,False,0.0,3,1,0.548148
172,1.452602,0.933116,0.653333,0.890469,0.536210,0.503225,3,32,129,54,54,3,2730,0.5,True,False,0.0,2,1,0.574074
173,1.460866,0.945129,0.456311,0.950299,0.532818,0.502241,3,30,235,132,132,3,2730,0.5,True,False,0.0,2,1,0.469697
174,1.462384,0.665383,0.668224,0.636137,0.498580,0.494803,2,9,357,143,143,3,2730,0.5,True,False,0.0,2,1,0.65035
175,1.458365,0.653715,0.711538,0.607823,0.493963,0.501100,2,31,145,93,93,3,2730,0.5,True,False,0.0,2,1,0.655914
176,1.469539,1.097276,0.305785,1.108233,0.504641,0.545886,3,19,144,23,23,3,2730,0.5,True,False,0.0,2,1,0.434783
177,1.461030,1.294850,0.441176,1.285633,0.567627,0.555552,5,21,213,111,111,3,2730,0.5,True,False,0.0,3,1,0.405405
178,1.459100,0.688158,0.565217,0.684843,0.512593,0.487532,2,12,379,264,264,3,2730,0.5,True,False,0.0,2,1,0.575758
179,1.448552,0.661153,0.709302,0.613983,0.500377,0.505562,2,7,335,249,249,3,2730,0.5,True,False,0.0,2,1,0.638554
180,1.464050,1.373224,0.527094,1.369345,0.520255,0.512129,5,13,287,84,84,3,2730,0.5,True,False,0.0,3,1,0.559524
181,1.461726,0.666408,0.682927,0.631458,0.494299,0.495874,2,19,336,295,295,3,2730,0.5,True,False,0.0,2,1,0.627119
182,1.461457,0.630137,0.794118,0.542217,0.497576,0.461045,2,29,167,31,31,3,2730,0.5,True,False,0.0,2,1,0.677419
183,1.458518,1.508092,0.373134,1.509569,0.489698,0.526914,6,31,250,116,116,3,2730,0.5,True,False,0.0,3,1,0.413793
184,1.462366,0.621881,0.828125,0.519585,0.499024,0.508005,2,26,159,95,95,3,2730,0.5,True,False,0.0,2,1,0.673684
185,1.461438,0.695091,0.488889,0.703739,0.507364,0.509530,2,31,294,249,249,3,2730,0.5,True,False,0.0,2,1,0.562249
186,1.461173,1.215010,0.520930,1.227648,0.518118,0.516462,4,20,339,124,124,3,2730,0.5,True,False,0.0,3,1,0.604839
187,1.462859,1.380940,0.505376,1.361955,0.513154,0.507918,5,26,218,125,125,3,2730,0.5,True,False,0.0,3,1,0.328
188,1.457180,1.262547,0.313433,1.285583,0.513941,0.530545,4,15,250,183,183,3,2730,0.5,True,False,0.0,3,1,0.480874
189,1.458430,1.194162,0.347826,1.197547,0.501896,0.459568,4,14,319,89,89,3,2730,0.5,True,False,0.0,3,1,0.41573
190,1.456140,0.733541,0.769231,0.656310,0.594501,0.660385,3,29,298,77,77,3,2730,0.5,True,False,0.0,2,1,0.623377
191,1.466979,0.684589,0.600000,0.674531,0.506852,0.486850,2,12,123,103,103,3,2730,0.5,True,False,0.0,2,1,0.572816
192,1.465016,1.326670,0.421053,1.322689,0.511286,0.532634,4,26,181,105,105,3,2730,0.5,True,False,0.0,3,1,0.352381
193,1.463364,0.693275,0.518987,0.716686,0.509128,0.510103,2,10,217,59,59,3,2730,0.5,True,False,0.0,2,1,0.627119
194,1.467205,0.685183,0.598765,0.675969,0.502844,0.530789,2,11,240,78,78,3,2730,0.5,True,False,0.0,2,1,0.564103
195,1.449137,0.691002,0.539683,0.690504,0.501368,0.506108,2,6,333,270,270,3,2730,0.5,True,False,0.0,2,1,0.555556
196,1.460502,0.664151,0.666667,0.636728,0.505467,0.504683,2,23,123,102,102,3,2730,0.5,True,False,0.0,2,1,0.656863
197,1.455579,1.212878,0.466667,1.206762,0.538196,0.502570,4,28,217,127,127,3,2730,0.5,True,False,0.0,3,1,0.472441
198,1.461570,1.375222,0.281938,1.387642,0.515433,0.475491,4,20,284,57,57,3,2730,0.5,True,False,0.0,3,1,0.385965
